Station Name,City,State,ZIP,Status Code,Expected Date,Owner Type Code,Geocode Status,Latitude,Longitude,Facility Type,Restricted Access
University of Washington - Parking Area W40,Seattle,WA,98105,E,,P,GPS,47.6548806651459,-122.319211227533,PARKING_LOT,False
University of Washington - Parking Lot N22,Seattle,WA,98195,E,,P,GPS,47.6560149395404,-122.305003488076,PARKING_LOT,False
Union Bay Plaza,Seattle,WA,98105,E,,P,GPS,47.6619766883491,-122.293346008603,PARKING_LOT,False
BIOMED REALTY DEXTER YARD-S1,Seattle,WA,98109,E,,,GPS,47.625629,-122.342054,,
BIOMED REALTY DEXTER YARD-S4,Seattle,WA,98109,E,,,GPS,47.625821,-122.342051,,
1800 Ninth Building,Seattle,WA,98101,E,,,GPS,47.615249,-122.3332564,,
The Alexis Royal Sonesta Hotel Seattle,Seattle,WA,98104,E,,,GPS,47.604891,-122.336815,,
Columbia Center Tower,Seattle,WA,98104,E,,,GPS,47.604817,-122.330568,,
KING COUNTY DES SAFETY TRAIN 2,Seattle,WA,98118,E,,,GPS,47.512,-122.28809,,
KING COUNTY DES SAFETY TRAIN 3,Seattle,WA,98118,E,,,GPS,47.511906,-122.2884,,
KING COUNTY DES SAFETY TRAIN 4,Seattle,WA,98118,E,,,GPS,47.51099,-122.29256,,
521603_Pike Tower,Seattle,WA,98101,E,,,GPS,47.611198,-122.334788,,
"Walgreens at 4412 Rainier Ave, Seattle",Seattle,WA,98118,E,,,GPS,47.563966,-122.287468,,
Safeway 4011 S 164th,Seattle,WA,98188,E,,,GPS,47.45568,-122.281965,,
SCC SUMMIT SCC SUMMIT #1,Seattle,WA,98101,E,,,GPS,47.615003,-122.331809,,
SCC SUMMIT SCC SUMMIT #3,Seattle,WA,98101,E,,,GPS,47.61488,-122.331476,,
SCC SUMMIT SCC SUMMIT #2,Seattle,WA,98101,E,,,GPS,47.614938,-122.331583,,
SCC SUMMIT SCC SUMMIT #4,Seattle,WA,98101,E,,,GPS,47.614938,-122.331508,,
Portage Bay,Seattle,WA,98102,E,,,GPS,47.648127,-122.317529,,
Arrive Noba Apartments,Seattle,WA,98117,T,2023-09-11,,GPS,47.6874796,-122.3763969,,
ARTIX ARTIX 1,Seattle,WA,98109,E,,,GPS,47.622256,-122.356564,,
Eclipse Fremont,Seattle,WA,98103,E,,,GPS,47.6539512,-122.3469551,,
AMZ SEA29 - 6,Seattle,WA,98109,T,2024-04-04,,GPS,47.620085,-122.336021,,
ARTIX ARTIX 2,Seattle,WA,98109,E,,,GPS,47.622256,-122.356521,,
BIOMED REALTY DEXTER YARD-S2,Seattle,WA,98109,E,,,GPS,47.625644,-122.341968,,
BIOMED REALTY DEXTER YARD-S5,Seattle,WA,98109,E,,,GPS,47.625645,-122.341914,,
BIOMED REALTY DEXTER YARD- S3,Seattle,WA,98109,E,,,GPS,47.625578,-122.342054,,
SEATTLE HQ 2014-2015,Seattle,WA,98119,T,2024-04-17,,GPS,47.628913,-122.374255,,
SEATTLE HQ 1022-1023,Seattle,WA,98119,T,2024-01-24,,GPS,47.629005,-122.37427,,
SEATTLE HQ 2002-2003,Seattle,WA,98119,E,,,GPS,47.628833,-122.374083,,
SEATTLE HQ 2247-2248,Seattle,WA,98119,E,,,GPS,47.62887,-122.37405,,
SEATTLE HQ 2242-2243,Seattle,WA,98119,E,,,GPS,47.628949,-122.374183,,
SEATTLE HQ 2238-2239,Seattle,WA,98119,T,2024-04-17,,GPS,47.62902,-122.374217,,
SEATTLE HQ 2012-2013,Seattle,WA,98119,T,2024-04-17,,GPS,47.628906,-122.374292,,
SEATTLE HQ 2244,Seattle,WA,98119,E,,,GPS,47.628952,-122.374166,,
SEATTLE HQ 2008-2009,Seattle,WA,98119,E,,,GPS,47.62877,-122.374164,,
SEATTLE HQ 2004-2005,Seattle,WA,98119,E,,,GPS,47.628734,-122.374079,,
SEATTLE HQ 2240-2241,Seattle,WA,98119,T,2024-04-17,,GPS,47.628986,-122.374253,,
SEATTLE HQ 2245-2246,Seattle,WA,98119,E,,,GPS,47.628828,-122.374029,,
SEATTLE HQ 2006-2007,Seattle,WA,98119,T,2024-04-17,,GPS,47.628831,-122.374123,,
SEATTLE HQ 2249-2250,Seattle,WA,98119,E,,,GPS,47.628816,-122.374053,,
SEATTLE HQ 2251-2252,Seattle,WA,98119,E,,,GPS,47.62879,-122.373934,,
SEATTLE HQ 2253-2254,Seattle,WA,98119,E,,,GPS,47.628781,-122.373925,,
SEATTLE HQ 2016-2017,Seattle,WA,98119,T,2024-04-17,,GPS,47.628977,-122.374338,,
SEATTLE HQ 2010-2011,Seattle,WA,98119,T,2024-04-17,,GPS,47.628839,-122.374202,,
SEATTLE HQ STATION 1,Seattle,WA,98119,E,,,GPS,47.630845,-122.377326,,
SEATTLE HQ STATION 3,Seattle,WA,98119,E,,,GPS,47.630379,-122.377129,,
SEATTLE HQ STATION 2,Seattle,WA,98119,E,,,GPS,47.630731,-122.377299,,
SEATTLE HQ STATION 4,Seattle,WA,98119,E,,,GPS,47.630844,-122.377344,,
Helm,Seattle,WA,98109,T,2023-09-11,,GPS,47.6250127,-122.3364747,,
Mera,Seattle,WA,98109,T,2023-05-31,,GPS,47.6254177,-122.335525,,
Fred Hutchinson - Cancer Center,Seattle,WA,98109,T,2024-04-04,,GPS,47.626531,-122.329993,,
AMZ SEA25.26-5,Seattle,WA,98109,E,,,GPS,47.624088,-122.336144,,
AMZ SEA25.26-6,Seattle,WA,98109,E,,,GPS,47.624117,-122.336165,,
AMZ SEA25.26-7,Seattle,WA,98109,E,,,GPS,47.624108,-122.33611,,
AMZ SEA25.26-8,Seattle,WA,98109,E,,,GPS,47.624088,-122.336176,,
AMZ SEA25.26-9,Seattle,WA,98109,E,,,GPS,47.624137,-122.336153,,
AMZ SEA25.26-10,Seattle,WA,98109,E,,,GPS,47.624035,-122.336045,,
AMZ SEA25.26- 11,Seattle,WA,98109,E,,,GPS,47.624014,-122.336271,,
AMZ SEA24 03,Seattle,WA,98109,E,,,GPS,47.624139,-122.335419,,
AMZ SEA24 07,Seattle,WA,98109,E,,,GPS,47.623947,-122.335413,,
AMZ SEA24 06,Seattle,WA,98109,E,,,GPS,47.624,-122.335571,,
AMZ SEA24 08,Seattle,WA,98109,E,,,GPS,47.623978,-122.335571,,
AMZ SEA24 05,Seattle,WA,98109,E,,,GPS,47.623864,-122.335662,,
AMZ SEA24 04,Seattle,WA,98109,E,,,GPS,47.62398,-122.335809,,
AMZ SEA29 - 7,Seattle,WA,98109,E,,,GPS,47.620482,-122.336253,,
AMZ SEA29 - 9,Seattle,WA,98109,E,,,GPS,47.62044,-122.336175,,
AMZ SEA29 - 8,Seattle,WA,98109,E,,,GPS,47.621486,-122.336188,,
AMZ SEA23 - 3,Seattle,WA,98109,E,,,GPS,47.623798,-122.337642,,
AMZ SEA23-2,Seattle,WA,98109,E,,,GPS,47.623911,-122.337694,,
AMZ SEA27-28 P4 004,Seattle,WA,98109,E,,,GPS,47.621342,-122.336349,,
AMZ SEA27-28 P4 005,Seattle,WA,98109,E,,,GPS,47.621341,-122.336351,,
AGC OF WA STATION 1,Seattle,WA,98109,T,2023-08-25,,GPS,47.629205,-122.339422,,
AGC OF WA STATION 2,Seattle,WA,98109,T,2023-08-23,,GPS,47.629254,-122.339434,,
AGC OF WA STATION 3,Seattle,WA,98109,T,2023-08-23,,GPS,47.6293,-122.339449,,
NRV NORTHGATE,Seattle,WA,98125,E,,,GPS,47.702793,-122.32588,,
AMZ SEA43 - 18,Seattle,WA,98121,E,,,GPS,47.617519,-122.340205,,
AMZ SEA43 - 12,Seattle,WA,98121,E,,,GPS,47.617496,-122.340242,,
AMZ SEA43 - 15,Seattle,WA,98121,E,,,GPS,47.617506,-122.340219,,
AMZ SEA43 - 19,Seattle,WA,98121,E,,,GPS,47.617525,-122.340196,,
AMZ SEA43 - 16,Seattle,WA,98121,E,,,GPS,47.61751,-122.340215,,
AMZ SEA43 - 13,Seattle,WA,98121,E,,,GPS,47.6175,-122.340235,,
AMZ SEA43 - 14,Seattle,WA,98121,E,,,GPS,47.617505,-122.340227,,
AMZ SEA43 - 10,Seattle,WA,98121,E,,,GPS,47.617454,-122.34029,,
AMZ SEA43 - 8,Seattle,WA,98121,E,,,GPS,47.617405,-122.340395,,
AMZ SEA43 - 11,Seattle,WA,98121,E,,,GPS,47.617498,-122.340269,,
AMZ SEA43 - 17,Seattle,WA,98121,E,,,GPS,47.617439,-122.340315,,
AMZ SEA43 - 9,Seattle,WA,98121,E,,,GPS,47.617425,-122.340333,,
CID - 7th Ave S,Seattle,WA,98104,E,,,GPS,47.597097,-122.323903,,
GILEAD SEATTLE GILEAD SEA 2,Seattle,WA,98102,E,,,GPS,47.634499,-122.326277,,
GILEAD SEATTLE GILEAD SEA 3,Seattle,WA,98102,E,,,GPS,47.634528,-122.326341,,
GILEAD SEATTLE GILEAD SEA 1,Seattle,WA,98102,E,,,GPS,47.634499,-122.326374,,
Central District MLK Jr Way S,Seattle,WA,98144,E,,,GPS,47.60025,-122.29722,,
6100 Building,Seattle,WA,98108,E,,,GPS,47.5469551,-122.3288731,,
"531612 : PRISA Market Place Tower WA, LLC c/o CBRE",Seattle,WA,98121,E,,,GPS,47.6113722,-122.343703,,
(Public P1) Commons at Ballard,Seattle,WA,98107,E,,,GPS,47.66981,-122.38494,,
431607 : AVA Belltown,Seattle,WA,98121,E,,,GPS,47.6160967,-122.3527187,,
431608 : AVA Queen Anne,Seattle,WA,98119,E,,,GPS,47.6215389,-122.3602985,,
431603 : AVA Capitol Hill,Seattle,WA,98122,E,,,GPS,47.6148399,-122.3241666,,
Arbor Blocks,Seattle,WA,98109,E,,,GPS,47.6212984,-122.3407408,,
The Martin,Seattle,WA,98121,E,,,GPS,47.6144471,-122.3410102,,
Youngstown Flats,Seattle,WA,98106,T,2024-02-15,,GPS,47.56716777356541,-122.36484747520292,,
Thrive,Seattle,WA,98122,E,,,GPS,47.61360885799295,-122.31579498724822,,
CityLine,Seattle,WA,98119,E,,,GPS,47.5597763,-122.2911963,,
Willow Crossing,Seattle,WA,98118,E,,,GPS,47.5403411,-122.2832798,,
Seola Gardens,Seattle,WA,98146,T,2023-09-11,,GPS,47.502354,-122.34112,,
Broadstone Strata,Seattle,WA,98105,E,,,GPS,47.664513531216464,-122.30001030443889,,
Linden Flats Charger Station,Seattle,WA,98133,T,2023-09-11,,GPS,47.7265843,-122.347325,,
AMZ SEA20-22 005,Seattle,WA,98109,E,,,GPS,47.622867,-122.336753,,
Fremont Village Square,Seattle,WA,98103,E,,,GPS,47.651792,-122.352916,,
1700 Seventh,Seattle,WA,98101,E,,,GPS,47.614019,-122.335273,,
AMZ SEA27-28 P6 007,Seattle,WA,98109,E,,,GPS,47.621558,-122.336929,,
AMZ SEA27-28 P3 012,Seattle,WA,98109,E,,,GPS,47.621611,-122.336961,,
AMZ SEA27-28 P3 013,Seattle,WA,98109,E,,,GPS,47.621517,-122.336996,,
AMZ SEA27-28 P3 014,Seattle,WA,98109,E,,,GPS,47.621596,-122.337002,,
AMZ SEA27-28 P3 015,Seattle,WA,98109,E,,,GPS,47.621564,-122.336999,,
AMZ SEA27-28 P5 010,Seattle,WA,98109,E,,,GPS,47.621597,-122.337012,,
AMZ SEA27-28 P5 011,Seattle,WA,98109,E,,,GPS,47.621624,-122.336999,,
AMZ SEA27-28 P5 009,Seattle,WA,98109,E,,,GPS,47.621547,-122.33698,,
AMZ SEA27-28 P6 008,Seattle,WA,98109,E,,,GPS,47.621566,-122.336961,,
AMZ SEA27-28 P6 006,Seattle,WA,98109,E,,,GPS,47.621587,-122.336956,,
Aspen Ridge Apartments,Seattle,WA,98178,E,,,GPS,47.4902,-122.2493,,
Nia Apartments,Seattle,WA,98106,E,,,GPS,47.51424,-122.34568,,
BMR-NORTHEDGE NORTHEDGE #1,Seattle,WA,98103,E,,,GPS,47.64787,-122.33814,,
PIKE PLACE STALL 204 & 205,Seattle,WA,98101,E,,,GPS,47.60852,-122.34208,,
PIKE PLACE STALL 202 & 203,Seattle,WA,98101,E,,,GPS,47.608639,-122.342184,,
Fremont - N 45th St,Seattle,WA,98107,E,,,GPS,47.66138,-122.354868,,
Neighborhood House - Zev Co-Op Public,Seattle,WA,98126,E,,,GPS,47.54486,-122.3722,,
Discovery Place Condos,Seattle,WA,98199,E,,P,GPS,47.66,-122.4,MULTI_UNIT_DWELLING,False
PIKE PLACE STALL 887 & 886,Seattle,WA,98101,E,,,GPS,47.609463,-122.342843,,
PIKE PLACE STALL 206 & 207,Seattle,WA,98101,E,,,GPS,47.608994,-122.342068,,
PIKE PLACE STALL 208 & 209,Seattle,WA,98101,E,,,GPS,47.608951,-122.342068,,
PIKE PLACE STALL 210 & 211,Seattle,WA,98101,E,,,GPS,47.608929,-122.342047,,
Ramayana Apartments,Seattle,WA,98102,E,,,GPS,47.61945391175123,-122.32254786164084,,
Lighthouse Apartments,Seattle,WA,98144,E,,P,200-8,47.58535,-122.30052,MULTI_UNIT_DWELLING,False
Seattle - Page One Automotive,Seattle,WA,98108,E,,P,200-8,47.51799,-122.32796,FLEET_GARAGE,False
The Waverly,Seattle,WA,98109,E,,,GPS,47.6202877,-122.3407099,,
Fairmount Park CA Ave SW,Seattle,WA,98116,E,,,GPS,47.557984,-122.386588,,
South Lake Union - Pontius,Seattle,WA,98109,E,,,GPS,47.621398,-122.332169,,
Hawthorne,Seattle,WA,98119,E,,,GPS,47.62025721078499,-122.35766822727732,,
Stevens - 20th Ave E,Seattle,WA,98112,E,,,GPS,47.624082,-122.306103,,
Wallingford - Stone Way N,Seattle,WA,98103,E,,,GPS,47.658733,-122.342392,,
Capitol Hill - Bellevue Ave E,Seattle,WA,98102,E,,,GPS,47.61934,-122.326514,,
RMR Union East Parking Garage,Seattle,WA,98119,E,,,GPS,47.62253020451757,-122.36378268862852,,
Komo Plaza Garage,Seattle,WA,98109,E,,,GPS,47.61963111516519,-122.34822224825623,PUBLIC,
Residence Inn by Marriott - Tesla Destination,Seattle,WA,98109,E,,P,GPS,47.6265091772018,-122.333396382022,HOTEL,False
UWMC SURGERY STATION 2,Seattle,WA,98195,E,,,GPS,47.649899,-122.307363,,
AMZ SEA42 - 19,Seattle,WA,98109,E,,,GPS,47.62028,-122.343819,,
AMZ SEA42 - 20,Seattle,WA,98119,E,,,GPS,47.616361,-122.338907,,
AMZ SEA42 - 21,Seattle,WA,98121,E,,,GPS,47.616426,-122.338861,,
AMZ SEA42 - 24,Seattle,WA,98121,E,,,GPS,47.616431,-122.338887,,
AMZ SEA42 - 25,Seattle,WA,98119,E,,,GPS,47.61643,-122.338839,,
AMZ SEA42 - 26,Seattle,WA,98119,E,,,GPS,47.616422,-122.338744,,
AMZ SEA42 - 22,Seattle,WA,98121,E,,,GPS,47.616332,-122.339025,,
AMZ SEA42 - 27,Seattle,WA,98119,E,,,GPS,47.616428,-122.338808,,
AMZ SEA42 - 28,Seattle,WA,98121,E,,,GPS,47.616789,-122.338601,,
AMZ SEA42 - 29,Seattle,WA,98121,E,,,GPS,47.616346,-122.338998,,
AMZ SEA42 - 30,Seattle,WA,98121,E,,,GPS,47.61633,-122.339038,,
AMZ SEA42 - 31,Seattle,WA,98121,E,,,GPS,47.616349,-122.339014,,
AMZ SEA42 - 32,Seattle,WA,98119,E,,,GPS,47.616271,-122.338882,,
AMZ SEA42 - 33,Seattle,WA,98119,E,,,GPS,47.616289,-122.33887,,
AMZ SEA42 - 35,Seattle,WA,98119,E,,,GPS,47.61627,-122.33883,,
AMZ SEA42 - 37,Seattle,WA,98119,E,,,GPS,47.616273,-122.338855,,
AMZ SEA42 - 36,Seattle,WA,98119,E,,,GPS,47.616288,-122.33885,,
AMZ SEA42 - 39,Seattle,WA,98121,E,,,GPS,47.616389,-122.339051,,
AMZ SEA42 - 40,Seattle,WA,98121,E,,,GPS,47.616414,-122.339082,,
AMZ SEA42 - 38,Seattle,WA,98121,E,,,GPS,47.616432,-122.339064,,
AMZ SEA42 - 42,Seattle,WA,98121,E,,,GPS,47.616436,-122.339045,,
AMZ SEA42 - 41,Seattle,WA,98121,E,,,GPS,47.616416,-122.339024,,
AMZ SEA42 - 43,Seattle,WA,98121,E,,,GPS,47.616397,-122.339079,,
AMZ SEA42 - 47,Seattle,WA,98121,E,,,GPS,47.616454,-122.339046,,
AMZ SEA42 - 46,Seattle,WA,98121,E,,,GPS,47.616427,-122.339052,,
AMZ SEA42 - 45,Seattle,WA,98121,E,,,GPS,47.616442,-122.339095,,
AMZ SEA42 - 44,Seattle,WA,98121,E,,,GPS,47.616416,-122.339066,,
North Admiral - CA Ave SW,Seattle,WA,98116,E,,,GPS,47.585163,-122.386314,,
North Beacon Hill - 12th Ave S,Seattle,WA,98144,E,,,GPS,47.590301,-122.317437,,
Bitter Lake - N 143rd St,Seattle,WA,98133,E,,,GPS,47.73227,-122.348276,,
Wallingford - N 46th St,Seattle,WA,98103,E,,,GPS,47.662076,-122.337269,,
Olympic Hills - NE 143rd St,Seattle,WA,98125,E,,,GPS,47.73205,-122.310953,,
AMZ SEA42 - 34,Seattle,WA,98119,T,2024-04-17,,GPS,47.616286,-122.33881,,
AMLI MARK 24 MARK24 RETAIL,Seattle,WA,98107,E,,,GPS,47.668673,-122.380077,,
325 Eastlake,Seattle,WA,98109,E,,,GPS,47.6214014,-122.3295578,,
Lower Queen Anne - W Mercer St,Seattle,WA,98119,E,,,GPS,47.624524,-122.361645,,
Adams - NW 57th St,Seattle,WA,98107,E,,,GPS,47.670267,-122.379498,,
Fremont - Whitman Ave N,Seattle,WA,98103,E,,,GPS,47.6549,-122.345912,,
Eastlake - Fairview Ave E,Seattle,WA,98102,E,,,GPS,47.636641,-122.328705,,
Riverview - 17th Ave SW,Seattle,WA,98106,E,,,GPS,47.540413,-122.356173,,
AMZ SEA23 - 4,Seattle,WA,98109,E,,,GPS,47.624209,-122.337729,,
AMZ SEA23 - 5,Seattle,WA,98109,E,,,GPS,47.624085,-122.337727,,
AMZ SEA24 - 10,Seattle,WA,98109,T,2024-04-18,,GPS,47.623802,-122.335507,,
AMZ SEA24 - 9,Seattle,WA,98109,E,,,GPS,47.623721,-122.335511,,
7th & Pine LLC - Garage,Seattle,WA,98101,E,,,GPS,47.61181562734982,-122.33325164528084,,
Tilt49 Realty,Seattle,WA,98101,E,,,GPS,47.6170248,-122.3322181,,
DOL WEST SEATTLE 1,Seattle,WA,98106,E,,,GPS,47.566899,-122.36456,,
